title,isbn,price,url,published_at,publisher
アナライジング・マルウェア,978-4-87311-455-2,"3,300",https://www.oreilly.co.jp/books/9784873114552/,2010-12-18,オライリー・ジャパン
Head Firstデータ解析,978-4-87311-464-4,"3,520",https://www.oreilly.co.jp/books/9784873114644/,2010-07-09,オライリー・ジャパン
JavaによるRESTfulシステム構築,978-4-87311-467-5,"3,520",https://www.oreilly.co.jp/books/9784873114675/,2010-08-21,オライリー・ジャパン
jQueryクックブック,978-4-87311-468-2,"3,960",https://www.oreilly.co.jp/books/9784873114682/,2010-08-17,オライリー・ジャパン
入門 自然言語処理,978-4-87311-470-5,"4,180",https://www.oreilly.co.jp/books/9784873114705/,2010-11-10,オライリー・ジャパン
プログラマが知るべき97のこと,978-4-87311-479-8,"2,090",https://www.oreilly.co.jp/books/9784873114798/,2010-12-17,オライリー・ジャパン
JavaScriptパターン,978-4-87311-488-0,"3,080",https://www.oreilly.co.jp/books/9784873114880/,2011-02-15,オライリー・ジャパン
子どもが体験するべき50の危険なこと,978-4-87311-498-9,"2,200",https://www.oreilly.co.jp/books/9784873114989/,2011-05-25,オライリー・ジャパン
Being Geek,978-4-87311-499-6,"2,530",https://www.oreilly.co.jp/books/9784873114996/,2011-06-24,オライリー・ジャパン
ゲームストーミング,978-4-87311-505-4,"2,860",https://www.oreilly.co.jp/books/9784873115054/,2011-08-20,オライリー・ジャパン
Hacking：美しき策謀 第2版,978-4-87311-514-6,"4,620",https://www.oreilly.co.jp/books/9784873115146/,2011-10-22,オライリー・ジャパン
XBeeで作るワイヤレスセンサーネットワーク,978-4-87311-530-6,"3,520",https://www.oreilly.co.jp/books/9784873115306/,2011-12-09,オライリー・ジャパン
実践 Metasploit,978-4-87311-538-2,"4,180",https://www.oreilly.co.jp/books/9784873115382/,2012-05-23,オライリー・ジャパン
PDF構造解説,978-4-87311-549-8,"2,420",https://www.oreilly.co.jp/books/9784873115498/,2012-05-25,オライリー・ジャパン
FabLife,978-4-87311-555-9,"2,420",https://www.oreilly.co.jp/books/9784873115559/,2012-06-09,オライリー・ジャパン
「レベルアップ」のゲームデザイン,978-4-87311-563-4,"3,960",https://www.oreilly.co.jp/books/9784873115634/,2012-08-18,オライリー・ジャパン
リーダブルコード,978-4-87311-565-8,"2,640",https://www.oreilly.co.jp/books/9784873115658/,2012-06-23,オライリー・ジャパン
アート・オブ・Rプログラミング,978-4-87311-579-5,"3,520",https://www.oreilly.co.jp/books/9784873115795/,2012-09-26,オライリー・ジャパン
Linuxプログラミングインタフェース,978-4-87311-585-6,"8,360",https://www.oreilly.co.jp/books/9784873115856/,2012-12-01,オライリー・ジャパン
Land of Lisp,978-4-87311-587-0,"4,180",https://www.oreilly.co.jp/books/9784873115870/,2013-02-23,オライリー・ジャパン
Fab,978-4-87311-588-7,"2,530",https://www.oreilly.co.jp/books/9784873115887/,2012-12-01,オライリー・ジャパン
SQLアンチパターン,978-4-87311-589-4,"3,520",https://www.oreilly.co.jp/books/9784873115894/,2013-01-26,オライリー・ジャパン
Nodeクックブック,978-4-87311-606-8,"3,740",https://www.oreilly.co.jp/books/9784873116068/,2013-02-23,オライリー・ジャパン
